WARD,YEAR,OFFENSE,COUNT
5.0,2021,THEFT/OTHER,1497
5.0,2022,ARSON,2
5.0,2022,ASSAULT W/DANGEROUS WEAPON,239
5.0,2022,BURGLARY,213
5.0,2022,HOMICIDE,33
5.0,2022,MOTOR VEHICLE THEFT,700
5.0,2022,ROBBERY,352
5.0,2022,SEX ABUSE,36
5.0,2022,THEFT F/AUTO,1325
5.0,2022,THEFT/OTHER,1596
5.0,2023,ARSON,2
5.0,2023,ASSAULT W/DANGEROUS WEAPON,202
5.0,2023,BURGLARY,243
5.0,2023,HOMICIDE,36
5.0,2023,MOTOR VEHICLE THEFT,1498
5.0,2023,ROBBERY,518
5.0,2023,SEX ABUSE,32
5.0,2023,THEFT F/AUTO,1224
5.0,2023,THEFT/OTHER,1878
5.0,2024,ASSAULT W/DANGEROUS WEAPON,133
5.0,2024,BURGLARY,192
5.0,2024,HOMICIDE,23
5.0,2024,MOTOR VEHICLE THEFT,1144
5.0,2024,ROBBERY,353
5.0,2024,SEX ABUSE,19
5.0,2024,THEFT F/AUTO,1468
5.0,2024,THEFT/OTHER,1612
5.0,2025,ARSON,2
5.0,2025,ASSAULT W/DANGEROUS WEAPON,74
5.0,2025,BURGLARY,84
5.0,2025,HOMICIDE,11
5.0,2025,MOTOR VEHICLE THEFT,707
5.0,2025,ROBBERY,188
5.0,2025,SEX ABUSE,10
5.0,2025,THEFT F/AUTO,828
5.0,2025,THEFT/OTHER,941
6.0,2019,ARSON,1
6.0,2019,ASSAULT W/DANGEROUS WEAPON,123
6.0,2019,BURGLARY,105
6.0,2019,HOMICIDE,12
6.0,2019,MOTOR VEHICLE THEFT,205
6.0,2019,ROBBERY,253
6.0,2019,SEX ABUSE,29
6.0,2019,THEFT F/AUTO,1427
6.0,2019,THEFT/OTHER,2170
6.0,2020,ARSON,1
6.0,2020,ASSAULT W/DANGEROUS WEAPON,142
6.0,2020,BURGLARY,176
6.0,2020,HOMICIDE,19
6.0,2020,MOTOR VEHICLE THEFT,432
6.0,2020,ROBBERY,210
6.0,2020,SEX ABUSE,24
6.0,2020,THEFT F/AUTO,1021
6.0,2020,THEFT/OTHER,1789
6.0,2021,ASSAULT W/DANGEROUS WEAPON,140
6.0,2021,BURGLARY,157
6.0,2021,HOMICIDE,11
6.0,2021,MOTOR VEHICLE THEFT,541
6.0,2021,ROBBERY,239
6.0,2021,SEX ABUSE,28
6.0,2021,THEFT F/AUTO,1026
6.0,2021,THEFT/OTHER,1655
6.0,2022,ARSON,1
6.0,2022,ASSAULT W/DANGEROUS WEAPON,100
6.0,2022,BURGLARY,102
6.0,2022,HOMICIDE,9
6.0,2022,MOTOR VEHICLE THEFT,597
6.0,2022,ROBBERY,261
6.0,2022,SEX ABUSE,21
6.0,2022,THEFT F/AUTO,990
6.0,2022,THEFT/OTHER,1604
6.0,2023,ASSAULT W/DANGEROUS WEAPON,75
6.0,2023,BURGLARY,118
6.0,2023,HOMICIDE,26
6.0,2023,MOTOR VEHICLE THEFT,967
6.0,2023,ROBBERY,433
6.0,2023,SEX ABUSE,31
6.0,2023,THEFT F/AUTO,880
6.0,2023,THEFT/OTHER,1755
6.0,2024,ARSON,2
6.0,2024,ASSAULT W/DANGEROUS WEAPON,63
6.0,2024,BURGLARY,102
6.0,2024,HOMICIDE,11
6.0,2024,MOTOR VEHICLE THEFT,813
6.0,2024,ROBBERY,242
6.0,2024,SEX ABUSE,20
6.0,2024,THEFT F/AUTO,878
6.0,2024,THEFT/OTHER,1669
6.0,2025,ASSAULT W/DANGEROUS WEAPON,36
6.0,2025,BURGLARY,51
6.0,2025,HOMICIDE,12
6.0,2025,MOTOR VEHICLE THEFT,487
6.0,2025,ROBBERY,99
6.0,2025,SEX ABUSE,8
6.0,2025,THEFT F/AUTO,517
6.0,2025,THEFT/OTHER,925
7.0,2019,ARSON,1
7.0,2019,ASSAULT W/DANGEROUS WEAPON,405
7.0,2019,BURGLARY,174
7.0,2019,HOMICIDE,46
7.0,2019,MOTOR VEHICLE THEFT,486
7.0,2019,ROBBERY,416
7.0,2019,SEX ABUSE,37
7.0,2019,THEFT F/AUTO,969
7.0,2019,THEFT/OTHER,1641
7.0,2020,ARSON,3
7.0,2020,ASSAULT W/DANGEROUS WEAPON,394
7.0,2020,BURGLARY,173
7.0,2020,HOMICIDE,57
7.0,2020,MOTOR VEHICLE THEFT,684
7.0,2020,ROBBERY,454
7.0,2020,SEX ABUSE,40
7.0,2020,THEFT F/AUTO,1186
7.0,2020,THEFT/OTHER,1159
7.0,2021,ARSON,1
7.0,2021,ASSAULT W/DANGEROUS WEAPON,376
7.0,2021,BURGLARY,137
7.0,2021,HOMICIDE,62
7.0,2021,MOTOR VEHICLE THEFT,626
7.0,2021,ROBBERY,448
7.0,2021,SEX ABUSE,32
7.0,2021,THEFT F/AUTO,862
7.0,2021,THEFT/OTHER,1042
7.0,2022,ASSAULT W/DANGEROUS WEAPON,320
7.0,2022,BURGLARY,140
7.0,2022,HOMICIDE,47
7.0,2022,MOTOR VEHICLE THEFT,707
7.0,2022,ROBBERY,403
7.0,2022,SEX ABUSE,29
7.0,2022,THEFT F/AUTO,719
7.0,2022,THEFT/OTHER,1128
7.0,2023,ARSON,2
7.0,2023,ASSAULT W/DANGEROUS WEAPON,325
7.0,2023,BURGLARY,143
7.0,2023,HOMICIDE,56
7.0,2023,MOTOR VEHICLE THEFT,1260
7.0,2023,ROBBERY,683
7.0,2023,SEX ABUSE,36
7.0,2023,THEFT F/AUTO,825
7.0,2023,THEFT/OTHER,1250
7.0,2024,ASSAULT W/DANGEROUS WEAPON,237
7.0,2024,BURGLARY,139
7.0,2024,HOMICIDE,45
7.0,2024,MOTOR VEHICLE THEFT,1034
7.0,2024,ROBBERY,409
7.0,2024,SEX ABUSE,24
7.0,2024,THEFT F/AUTO,726
